mserp_addressbooknames,mserp_dataarea,mserp_dirpartytablebientityid,mserp_instancerelationtype,mserp_instancerelationtype_bigint,mserp_knownas,mserp_languageid,mserp_name,mserp_namealias,mserp_partynumber,mserp_primaryaddresslocation,mserp_primaryaddresslocation_bigint,mserp_primarycontactemail,mserp_primarycontactemail_bigint,mserp_primarycontactfacebook,mserp_primarycontactfacebook_bigint,mserp_primarycontactfax,mserp_primarycontactfax_bigint,mserp_primarycontactlinkedin,mserp_primarycontactlinkedin_bigint,mserp_primarycontactphone,mserp_primarycontactphone_bigint,mserp_primarycontacttelex,mserp_primarycontacttelex_bigint,mserp_primarycontacttwitter,mserp_primarycontacttwitter_bigint,mserp_primarycontacturl,mserp_primarycontacturl_bigint,mserp_sourcekey,mserp_sourcekey_bigint,versionnumber
Moscow,,00006cdf-0000-0000-4f6f-014105000000,13271,13271,,ru,Романюк Николай Николаевич,Романюк Николай,000001696,22565462098,22565462098,0,0,0,0,0,0,0,0,22565434692,22565434692,0,0,0,0,0,0,22565449551,22565449551,NULL
Moscow,,00006cdf-0000-0000-506f-014105000000,13271,13271,,ru,Рубцов Иван Ильич,Рубцов Иван Ильич,000001698,22565462099,22565462099,0,0,0,0,0,0,0,0,22565434691,22565434691,0,0,0,0,0,0,22565449552,22565449552,NULL
Moscow,,00006cdf-0000-0000-516f-014105000000,13271,13271,,ru,Русаков Валерий Иванович,Русаков Валерий,000001700,22565462100,22565462100,0,0,0,0,0,0,0,0,22565434690,22565434690,0,0,0,0,0,0,22565449553,22565449553,NULL
Moscow,,00006cdf-0000-0000-526f-014105000000,13271,13271,,ru,Самойленко Амалия Александровна,Самойленко Амалия,000001702,22565462101,22565462101,0,0,0,0,0,0,0,0,22565434689,22565434689,0,0,0,0,0,0,22565449554,22565449554,NULL
Moscow,,00006cdf-0000-0000-536f-014105000000,13271,13271,,ru,Семенов Петр Васильевич,Семенов Петр,000001704,22565462102,22565462102,0,0,0,0,0,0,0,0,22565434688,22565434688,0,0,0,0,0,0,22565449555,22565449555,NULL
Moscow,,00006cdf-0000-0000-546f-014105000000,13271,13271,,ru,Селезнева Мария Андреевна,Селезнева Мария,000001706,22565462103,22565462103,0,0,0,0,0,0,0,0,22565434687,22565434687,0,0,0,0,0,0,22565449556,22565449556,NULL
Moscow,,00006cdf-0000-0000-556f-014105000000,13271,13271,,ru,Сергеева Маргарита Васильевна,Сергеева Маргарита,000001708,22565462104,22565462104,0,0,0,0,0,0,0,0,22565434686,22565434686,0,0,0,0,0,0,22565449557,22565449557,NULL
Moscow,,00006cdf-0000-0000-566f-014105000000,13271,13271,,ru,Ширко Руслан Матвеевич,Ширко Руслан,000001710,22565462105,22565462105,0,0,0,0,0,0,0,0,22565434685,22565434685,0,0,0,0,0,0,22565449558,22565449558,NULL
Moscow,,00006cdf-0000-0000-576f-014105000000,13271,13271,,ru,Сидоров Федор Иванович,Сидоров Федор,000001712,22565462106,22565462106,0,0,0,0,0,0,0,0,22565434684,22565434684,0,0,0,0,0,0,22565449559,22565449559,NULL
Moscow,,00006cdf-0000-0000-586f-014105000000,13271,13271,,ru,Соколов Илья Петрович,Соколов Илья,000001714,22565462107,22565462107,0,0,0,0,0,0,0,0,22565434683,22565434683,0,0,0,0,0,0,22565449560,22565449560,NULL
Moscow,,00006cdf-0000-0000-596f-014105000000,13271,13271,,ru,Сомов Иван Федорович,Сомов Иван,000001716,22565462108,22565462108,0,0,0,0,0,0,0,0,22565434682,22565434682,0,0,0,0,0,0,22565449561,22565449561,NULL
Moscow,,00006cdf-0000-0000-5a6f-014105000000,13271,13271,,ru,Шаров Герман Александрович,Шаров Герман,000001718,22565462109,22565462109,0,0,0,0,0,0,0,0,22565434681,22565434681,0,0,0,0,0,0,22565449562,22565449562,NULL
Moscow,,00006cdf-0000-0000-5b6f-014105000000,13271,13271,,ru,Шубина Юлия Даниловна,Шубина Юлия,000001720,22565462110,22565462110,0,0,0,0,0,0,0,0,22565434680,22565434680,0,0,0,0,0,0,22565449563,22565449563,NULL
Moscow,,00006cdf-0000-0000-5c6f-014105000000,13271,13271,,ru,Шевчук Роман Олегович,Шевчук Роман,000001722,22565462111,22565462111,0,0,0,0,0,0,0,0,22565434679,22565434679,0,0,0,0,0,0,22565449564,22565449564,NULL
Moscow,,00006cdf-0000-0000-5d6f-014105000000,13271,13271,,ru,Щербаков Федор Андреевич,Щербаков Федор,000001724,22565462112,22565462112,0,0,0,0,0,0,0,0,22565434678,22565434678,0,0,0,0,0,0,22565449565,22565449565,NULL
Moscow,,00006cdf-0000-0000-5e6f-014105000000,13271,13271,,ru,Третьяков Михаил Борисович,Третьяков Михаил,000001726,22565462113,22565462113,0,0,0,0,0,0,0,0,22565434677,22565434677,0,0,0,0,0,0,22565449566,22565449566,NULL
Moscow,,00006cdf-0000-0000-5f6f-014105000000,13271,13271,,ru,Туманов Александр Петрович,Туманов Александр,000001728,22565462114,22565462114,0,0,0,0,0,0,0,0,22565434676,22565434676,0,0,0,0,0,0,22565449567,22565449567,NULL
Moscow,,00006cdf-0000-0000-606f-014105000000,13271,13271,,ru,Уваров Валерий Павлович,Уваров Валерий,000001730,22565462115,22565462115,0,0,0,0,0,0,0,0,22565434675,22565434675,0,0,0,0,0,0,22565449568,22565449568,NULL
Moscow,,00006cdf-0000-0000-616f-014105000000,13271,13271,,ru,Воронина Лариса Евгеньевна,Воронина Лариса,000001732,22565462061,22565462061,0,0,0,0,0,0,0,0,22565434674,22565434674,0,0,0,0,0,0,22565449569,22565449569,NULL
Moscow,,00006cdf-0000-0000-626f-014105000000,13271,13271,,ru,Зуев Евгений Михайлович,Зуев Евгений,000001734,22565462069,22565462069,0,0,0,0,0,0,0,0,22565434673,22565434673,0,0,0,0,0,0,22565449570,22565449570,NULL
,,00006cdf-0000-0000-636f-014105000000,2077,2077,,en-us,SEFAZ - Sao Paulo,SEFAZ - Sao Paulo,000001735,22565460561,22565460561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449571,22565449571,NULL
,,00006cdf-0000-0000-646f-014105000000,2077,2077,,en-us,SEFAZ - Bahia,SEFAZ - Bahia,000001736,22565460562,22565460562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449572,22565449572,NULL
,,00006cdf-0000-0000-656f-014105000000,2077,2077,,en-us,Receita Federal,Receita Federal,000001737,22565460563,22565460563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449573,22565449573,NULL
,,00006cdf-0000-0000-666f-014105000000,2077,2077,,en-us,Prefeitura de São Paulo,Prefeitura de São Pa,000001738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449574,22565449574,NULL
RetailCust,,00006cdf-0000-0000-676f-014105000000,13271,13271,,en-us,Default Call center Customer,Default Call center,000001740,22565460565,22565460565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449575,22565449575,NULL
,,00006cdf-0000-0000-686f-014105000000,8363,8363,,en-us,Fabrikam call center,Fabrikam call center,000001741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449576,22565449576,NULL
,,00006cdf-0000-0000-696f-014105000000,8363,8363,,ja,Tokyo,Tokyo,000001742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449577,22565449577,NULL
,,00006cdf-0000-0000-6a6f-014105000000,8363,8363,,ja,Osaka,Osaka,000001743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449578,22565449578,NULL
,,00006cdf-0000-0000-6b6f-014105000000,2077,2077,,ru,Московское региональное отделение ФСС РФ,Московское региональ,000001744,22565462176,22565462176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449579,22565449579,NULL
,,00006cdf-0000-0000-6c6f-014105000000,2077,2077,,en-us,Acme Office Supplies,Acme Office Supplies,000001745,22565462178,22565462178,68719522666,68719522666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449580,22565449580,NULL
,,00006cdf-0000-0000-6d6f-014105000000,2077,2077,,en-us,Lande Packaging Supplies,Lande Packaging Supp,000001746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565449581,22565449581,NULL
Moscow,,00006cdf-0000-0000-6e6f-014105000000,13271,13271,,ru,Борисов Глеб Романович,Борисов  Глеб,000001748,22565462240,22565462240,0,0,0,0,0,0,0,0,22565434716,22565434716,0,0,0,0,0,0,22565449582,22565449582,NULL
,RURT,00006cdf-0000-0000-5772-014105000000,9027,9027,,ru,Contoso Retail RUS,Contoso Retail RUS,000001749,22565462806,22565462806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565450327,22565450327,NULL
,,00006cdf-0000-0000-5872-014105000000,2077,2077,,en-us,Ade Supply Company,Ade Supply Company,000001750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565450328,22565450328,NULL
,,00006cdf-0000-0000-5972-014105000000,2077,2077,,en-us,Best Supplier - Europe,Best Supplier - Euro,000001751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565450329,22565450329,NULL
,,00006cdf-0000-0000-5a72-014105000000,13271,13271,,ru,Клиент по умолчанию,Клиент по умолчанию,000001755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565450330,22565450330,NULL
,,00006cdf-0000-0000-5b72-014105000000,8363,8363,,,Moscow,Moscow,000001756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565450331,22565450331,NULL
RURTMoscow,,00006cdf-0000-0000-4575-014105000000,13271,13271,,ru,Кириллов Александр Борисович,Кириллов Александр,000001758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565451077,22565451077,NULL
RURTMoscow,,00006cdf-0000-0000-4675-014105000000,13271,13271,,ru,Зубарев Максим Петрович,Зубарев Максим,000001759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565451078,22565451078,NULL
,,00006cdf-0000-0000-4775-014105000000,2077,2077,,ru,ООО Литвер Рус,ООО Литвер Рус,000001760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565451079,22565451079,NULL
,,00006cdf-0000-0000-4875-014105000000,2077,2077,,ru,ООО Нордвинд Трейдерс Рус,ООО Нордвинд Трейдер,000001761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565451080,22565451080,NULL
,,00006cdf-0000-0000-4975-014105000000,2077,2077,,ru,ООО Саутридж Видео Рус,ООО Саутридж Видео Р,000001762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565451081,22565451081,NULL
Moscow,,00006cdf-0000-0000-4a75-014105000000,13271,13271,,ru,Никитин Юрий Григорьевич,Никитин Юрий,000001768,22565464308,22565464308,0,0,0,0,0,0,0,0,22565435468,22565435468,0,0,0,0,0,0,22565451082,22565451082,NULL
,,00006cdf-0000-0000-3878-014105000000,13271,13271,,en-in,Adam Thomas,Adam Thomas,000001769,22565465058,22565465058,22565436218,22565436218,0,0,0,0,0,0,22565436219,22565436219,0,0,0,0,0,0,22565451832,22565451832,NULL
,,00006cdf-0000-0000-2727-253d0c000000,8363,8363,,en-us,Call Center,Call Center,000001775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565452583,52565452583,NULL
,,00006cdf-0000-0000-152a-253d0c000000,2077,2077,,en-us,Northwind Transportation Company,Northwind Transport,000001776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565453333,52565453333,NULL
Cutomer_IN,,00006cdf-0000-0000-162a-253d0c000000,2077,2077,,en-in,Retail Customer,Retail Customer,000001778,52565466572,52565466572,0,0,0,0,0,0,0,0,52565436234,52565436234,0,0,0,0,0,0,52565453334,52565453334,NULL
,,00006cdf-0000-0000-172a-253d0c000000,8363,8363,,en-in,Delhi store,Delhi,000001777,68719518462,68719518462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565453335,52565453335,NULL
,,00006cdf-0000-0000-192a-253d0c000000,8363,8363,,en-in,Mumbai,Mumbai,000001780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565453337,52565453337,NULL
,,00006cdf-0000-0000-1a2a-253d0c000000,8363,8363,,en-in,Bangalore,Bangalore,000001781,68719518463,68719518463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565453338,52565453338,NULL
Bangalore;Delhi,,00006cdf-0000-0000-1b2a-253d0c000000,13271,13271,,en-in,Adam George,Adam George,000001782,52565466573,52565466573,68719480647,68719480647,0,0,0,0,0,0,68719480648,68719480648,0,0,0,0,0,0,52565453339,52565453339,NULL
Delhi,,00006cdf-0000-0000-1c2a-253d0c000000,13271,13271,,en-in,Bonnie Martin,Bonnie Martin,000001783,0,0,68719480658,68719480658,0,0,0,0,0,0,68719480663,68719480663,0,0,0,0,0,0,52565453340,52565453340,NULL
Delhi,,00006cdf-0000-0000-1d2a-253d0c000000,13271,13271,,en-in,Anna Lipse,Anna Lipse,000001784,52565466574,52565466574,68719480657,68719480657,0,0,0,0,0,0,68719480662,68719480662,0,0,0,0,0,0,52565453341,52565453341,NULL
Mumbai,,00006cdf-0000-0000-1e2a-253d0c000000,13271,13271,,en-in,Bill Moor,Bill Moor,000001785,52565466575,52565466575,68719480656,68719480656,0,0,0,0,0,0,68719480661,68719480661,0,0,0,0,0,0,52565453342,52565453342,NULL
Bangalore;Mumbai,,00006cdf-0000-0000-1f2a-253d0c000000,13271,13271,,en-in,Amy Madsen,Amy Madsen,000001786,52565466576,52565466576,68719480654,68719480654,0,0,0,0,0,0,68719480649,68719480649,0,0,0,0,0,0,52565453343,52565453343,NULL
RetailCust,,00006cdf-0000-0000-042d-253d0c000000,13271,13271,,ru,Олег Евгеньевич Зубарев,Олег Евгеньевич Зуба,000001788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454084,52565454084,NULL
RetailCust,,00006cdf-0000-0000-052d-253d0c000000,13271,13271,,ru,Мария Сергеевна Иванова,Мария Сергеевна Иван,000001790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454085,52565454085,NULL
RetailCust,,00006cdf-0000-0000-062d-253d0c000000,13271,13271,,ru,Эльвира Ивановна Белова,Эльвира Ивановна Бел,000001792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454086,52565454086,NULL
,MXMF,00006cdf-0000-0000-072d-253d0c000000,9027,9027,,,Contoso Entertainment System Mexico,Contoso Entertainmen,000001793,52565466577,52565466577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454087,52565454087,NULL
,,00006cdf-0000-0000-f52f-253d0c000000,2077,2077,,es-mx,Graphic Design Institute,Graphic Design Insti,000001794,52565467334,52565467334,52565436984,52565436984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454837,52565454837,NULL
,,00006cdf-0000-0000-f62f-253d0c000000,2077,2077,,es-mx,Coho Vineyard & Winery,Coho Vineyard & Wine,000001795,52565467335,52565467335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454838,52565454838,NULL
,,00006cdf-0000-0000-f72f-253d0c000000,2077,2077,,es-mx,School of Fine Art,School of Fine Art,000001796,52565467336,52565467336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454839,52565454839,NULL
,,00006cdf-0000-0000-f82f-253d0c000000,2077,2077,,es,Contoso S.A. Argentina,Contoso ARGENTINA,000001797,52565467337,52565467337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454840,52565454840,NULL
,,00006cdf-0000-0000-f92f-253d0c000000,2077,2077,,es-mx,Trey Research,Trey Research,000001800,52565467338,52565467338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454841,52565454841,NULL
,,00006cdf-0000-0000-fa2f-253d0c000000,2077,2077,,es-mx,Blue Yonder Airlines,Blue Yonder Airlines,000001801,52565467339,52565467339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454842,52565454842,NULL
,,00006cdf-0000-0000-fb2f-253d0c000000,2077,2077,,es-mx,"Litware, Inc.","Litware, Inc.",000001803,52565467340,52565467340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454843,52565454843,NULL
,,00006cdf-0000-0000-fc2f-253d0c000000,2077,2077,,es-mx,Best For You Organics Company,Best For You Organic,000001804,52565467341,52565467341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454844,52565454844,NULL
,,00006cdf-0000-0000-fd2f-253d0c000000,2077,2077,,es-mx,The Phone Company Services,The Phone Company,000001805,52565467342,52565467342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454845,52565454845,NULL
,,00006cdf-0000-0000-fe2f-253d0c000000,2077,2077,,es-mx,First Up Consultants,​First Up Consultant,000001806,52565467343,52565467343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454846,52565454846,NULL
,,00006cdf-0000-0000-ff2f-253d0c000000,2077,2077,,es-mx,Fourth Coffee Rentals,Fourth Coffee Rental,000001807,52565467344,52565467344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454847,52565454847,NULL
,,00006cdf-0000-0000-0030-253d0c000000,2077,2077,,en-us,Wide World Importers,Wide World Importers,000001808,52565467345,52565467345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565454848,52565454848,NULL
,,00006cdf-0000-0000-e332-253d0c000000,2077,2077,,en-us,Citrus Groves,Citrus,000001809,52565468079,52565468079,0,0,0,0,0,0,0,0,52565436983,52565436983,0,0,0,0,0,0,52565455587,52565455587,NULL
,,00006cdf-0000-0000-e432-253d0c000000,13271,13271,,,Sandy Lopez,Sandy Lopez,000001810,0,0,68719480655,68719480655,0,0,0,0,0,0,68719480660,68719480660,0,0,0,0,0,0,52565455588,52565455588,NULL
,,00006cdf-0000-0000-e532-253d0c000000,2077,2077,,en-us,CTP4 Vendor,CTP4 Vendor,000001811,52565468836,52565468836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455589,52565455589,NULL
,,00006cdf-0000-0000-e732-253d0c000000,13271,13271,,en-us,One-time vendor,One-time vendor,000001815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455591,52565455591,NULL
,,00006cdf-0000-0000-e832-253d0c000000,2077,2077,,en-us,Contoso-DEMF,Contoso-DEMF,000001816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455592,52565455592,NULL
,,00006cdf-0000-0000-e932-253d0c000000,2077,2077,,en-us,Contoso-FRRT,Contoso-FRRT,000001817,52565469587,52565469587,52565436986,52565436986,0,0,52565436987,52565436987,0,0,52565436985,52565436985,0,0,0,0,0,0,52565455593,52565455593,NULL
,,00006cdf-0000-0000-ea32-253d0c000000,2077,2077,,en-us,Air Cargo Carrier,Air Cargo Carrier,000001823,52565469590,52565469590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455594,52565455594,NULL
,MYMF,00006cdf-0000-0000-eb32-253d0c000000,9027,9027,,,Contoso Entertainment System Malaysia,Contoso Entertainmen,000001825,52565469591,52565469591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455595,52565455595,NULL
,,00006cdf-0000-0000-ec32-253d0c000000,13271,13271,,,One time vendor,One time vendor,000001827,52565469592,52565469592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455596,52565455596,NULL
,,00006cdf-0000-0000-ed32-253d0c000000,2077,2077,,,Malaysia Tax Authority,Malaysia Tax Authori,000001829,52565469593,52565469593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455597,52565455597,NULL
,,00006cdf-0000-0000-ee32-253d0c000000,2077,2077,,en-us,One-time vendor,One-time vendor,000001834,52565469594,52565469594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455598,52565455598,NULL
,,00006cdf-0000-0000-ef32-253d0c000000,2077,2077,,en-us,Fabrikam Ltd,Fabrikam Ltd,000001835,52565469595,52565469595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455599,52565455599,NULL
,,00006cdf-0000-0000-f032-253d0c000000,2077,2077,,en-us,Tailspin Parts,Tailspin Parts,000001836,52565469596,52565469596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455600,52565455600,NULL
,,00006cdf-0000-0000-f132-253d0c000000,2077,2077,,en-us,Rain Projector,Rain Projector,000001837,52565469597,52565469597,0,0,0,0,0,0,0,0,52565436988,52565436988,0,0,0,0,0,0,52565455601,52565455601,NULL
,,00006cdf-0000-0000-f232-253d0c000000,2077,2077,,en-us,Datum ltd,Datum ltd,000001838,52565469599,52565469599,0,0,0,0,0,0,0,0,52565436989,52565436989,0,0,0,0,0,0,52565455602,52565455602,NULL
,,00006cdf-0000-0000-f332-253d0c000000,2077,2077,,en-us,Contoso company,Contoso company,000001839,52565469601,52565469601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565455603,52565455603,NULL
,,00006cdf-0000-0000-da35-253d0c000000,2077,2077,,en-us,Royal Orchid,Royal Orchid,000001842,52565470343,52565470343,0,0,0,0,0,0,0,0,52565437738,52565437738,0,0,0,0,0,0,52565456346,52565456346,NULL
,,00006cdf-0000-0000-db35-253d0c000000,2077,2077,,en-us,Sunflower Wholesales,Sunflower Wholesales,000001843,52565470345,52565470345,0,0,0,0,0,0,0,0,52565437739,52565437739,0,0,0,0,0,0,52565456347,52565456347,NULL
,,00006cdf-0000-0000-dc35-253d0c000000,2077,2077,,en-us,Orchid shoppers,orchid,000001845,52565470347,52565470347,52565437741,52565437741,0,0,52565437740,52565437740,0,0,52565437742,52565437742,0,0,0,0,0,0,52565456348,52565456348,NULL
,,00006cdf-0000-0000-dd35-253d0c000000,2077,2077,,en-us,Otter Wholesales,Otter Wholesales,000001846,52565470349,52565470349,0,0,0,0,0,0,0,0,52565437743,52565437743,0,0,0,0,0,0,52565456349,52565456349,NULL
,,00006cdf-0000-0000-de35-253d0c000000,13271,13271,,en-us,John  Thomas,John  Thomas,000001847,52565470350,52565470350,68719480653,68719480653,0,0,0,0,0,0,68719480659,68719480659,0,0,0,0,0,0,52565456350,52565456350,NULL
,,00006cdf-0000-0000-df35-253d0c000000,13271,13271,,,Michael George,Michael  George,000001848,52565470351,52565470351,68719480651,68719480651,0,0,0,0,0,0,68719480652,68719480652,0,0,0,0,0,0,52565456351,52565456351,NULL
,,00006cdf-0000-0000-e035-253d0c000000,13271,13271,,en-us,Bonnie Martin,Bonnie  Martin,000001849,52565470352,52565470352,68719480650,68719480650,0,0,0,0,0,0,52565437744,52565437744,0,0,0,0,0,0,52565456352,52565456352,NULL
Houston,,00006cdf-0000-0000-9541-253d0c000000,13271,13271,,en-us,Wayne Samuel Jorden,Wayne Samuel Jorden,000001886,52565471105,52565471105,52565437745,52565437745,0,0,0,0,0,0,52565437746,52565437746,0,0,0,0,0,0,52565459349,52565459349,NULL
,,00006cdf-0000-0000-4d4d-253d0c000000,2077,2077,,en-us,Dolphin Wholesale,Dolphin Wholesale,000001888,52565474855,52565474855,52565440746,52565440746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565462349,52565462349,NULL
USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-3b50-253d0c000000,13271,13271,,en-us,Mara Gentry,Mara Gentry,000001890,52565475604,52565475604,68719500908,68719500908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565463099,52565463099,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-3c50-253d0c000000,13271,13271,,en-us,Eve Whitehead,Eve Whitehead,000001892,52565475605,52565475605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565463100,52565463100,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-3d50-253d0c000000,13271,13271,,en-us,Owen  Tolley,Owen Tolley,000001894,52565475606,52565475606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565463101,52565463101,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-3e50-253d0c000000,13271,13271,,en-us,Mathew Tolley,Mathew Tolley,000001896,52565475607,52565475607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565463102,52565463102,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-3f50-253d0c000000,13271,13271,,en-us,Jennifer Beach,Jennifer Beach,000001898,52565475608,52565475608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565463103,52565463103,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-4050-253d0c000000,13271,13271,,en-us,Shelly Beach,Shelly Beach,000001900,52565475609,52565475609,52565441500,52565441500,0,0,0,0,0,0,52565441502,52565441502,0,0,0,0,0,0,52565463104,52565463104,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-4150-253d0c000000,13271,13271,,en-us,Cameron Hartnett,Cameron Hartnett,000001902,52565475611,52565475611,52565441499,52565441499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565463105,52565463105,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-4250-253d0c000000,13271,13271,,en-us,Percy Hartnett,Percy Hartnett,000001904,52565475614,52565475614,0,0,0,0,0,0,0,0,52565441503,52565441503,0,0,0,0,0,0,52565463106,52565463106,NULL
,,00006cdf-0000-0000-4350-253d0c000000,13271,13271,,en-us,Christopher Gooding,Christopher Gooding,000001906,52565475617,52565475617,52565441506,52565441506,0,0,0,0,0,0,52565441505,52565441505,0,0,0,0,0,0,52565463107,52565463107,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-4450-253d0c000000,13271,13271,,en-us,Bonita Beach,Bonita Beach,000001911,52565475619,52565475619,52565441508,52565441508,0,0,0,0,0,0,52565441507,52565441507,0,0,0,0,0,0,52565463108,52565463108,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-4550-253d0c000000,13271,13271,,en-us,Sherri Flores,Sherri Flores,000001913,52565475621,52565475621,52565441509,52565441509,0,0,0,0,0,0,52565441510,52565441510,0,0,0,0,0,0,52565463109,52565463109,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-4650-253d0c000000,13271,13271,,en-us,William Wick,William Wick,000001915,52565475623,52565475623,52565441511,52565441511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565463110,52565463110,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-4750-253d0c000000,13271,13271,,en-us,Felecia Fuller,Felecia Fuller,000001917,52565475625,52565475625,52565441513,52565441513,0,0,0,0,0,0,52565441512,52565441512,0,0,0,0,0,0,52565463111,52565463111,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-4850-253d0c000000,13271,13271,,en-us,Adriana Kane,Adriana Kane,000001919,52565475627,52565475627,52565441514,52565441514,0,0,0,0,0,0,52565441515,52565441515,0,0,0,0,0,0,52565463112,52565463112,NULL
RetailCust;USRTCentrl;USRTEast;USRTWest,,00006cdf-0000-0000-4950-253d0c000000,13271,13271,,en-us,Trina Ballard,Trina Ballard,000001921,52565475629,52565475629,52565441516,52565441516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565463113,52565463113,NULL
